City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Chokurdakh,RU,70.6333,147.9167,-19.0,94,98,3.17,Overcast Clouds,2021-11-11 06:05:41
1,Cabo San Lucas,MX,22.8909,-109.9124,25.28,71,0,1.33,Clear Sky,2021-11-11 06:02:39
2,Praia,CV,14.9215,-23.5087,23.3,83,0,3.09,Clear Sky,2021-11-11 06:05:42
3,Punta Arenas,CL,-53.15,-70.9167,8.95,49,53,10.15,Broken Clouds,2021-11-11 06:01:03
4,Ushuaia,AR,-54.8,-68.3,4.81,93,0,1.03,Clear Sky,2021-11-11 06:05:43
5,Taraz,KZ,42.9,71.3667,10.23,40,0,1.0,Clear Sky,2021-11-11 06:05:44
6,Bluff,NZ,-46.6,168.3333,15.75,78,96,6.95,Overcast Clouds,2021-11-11 06:01:12
7,Mezen,RU,65.8522,44.24,0.58,98,100,4.03,Overcast Clouds,2021-11-11 06:05:45
8,Avarua,CK,-21.2078,-159.775,24.03,78,75,6.69,Broken Clouds,2021-11-11 06:05:45
9,Harper,LR,4.375,-7.7169,25.4,87,87,1.88,Light Rain,2021-11-11 06:05:46
10,Cockburn Town,TC,21.4612,-71.1419,27.37,75,93,7.86,Overcast Clouds,2021-11-11 06:05:46
11,Saint-Philippe,RE,-21.3585,55.7679,27.75,66,8,2.13,Clear Sky,2021-11-11 06:05:47
12,Grand Forks,US,47.9417,-97.4337,4.96,93,90,2.57,Overcast Clouds,2021-11-11 06:05:47
13,Visnes,NO,59.3556,5.2242,10.12,87,75,15.43,Broken Clouds,2021-11-11 06:05:48
14,Kamaishi,JP,39.2667,141.8833,12.19,76,60,3.42,Broken Clouds,2021-11-11 06:05:48
15,Kapaa,US,22.0752,-159.319,23.18,72,40,2.06,Scattered Clouds,2021-11-11 06:05:49
16,Constitucion,CL,-35.3333,-72.4167,11.6,77,92,3.26,Overcast Clouds,2021-11-11 06:05:49
17,Flin Flon,CA,54.7682,-101.865,-3.16,78,100,5.23,Overcast Clouds,2021-11-11 06:01:04
18,Nikolskoye,RU,59.7035,30.7861,7.15,92,52,3.92,Broken Clouds,2021-11-11 06:05:50
19,Vaini,TO,-21.2,-175.2,25.09,94,75,1.54,Light Rain,2021-11-11 06:05:50
20,Mar Del Plata,AR,-38.0023,-57.5575,16.16,82,20,0.45,Few Clouds,2021-11-11 06:05:51
21,Port Alfred,ZA,-33.5906,26.891,19.37,71,34,5.55,Scattered Clouds,2021-11-11 06:05:52
22,Rikitea,PF,-23.1203,-134.9692,23.47,80,93,6.45,Light Rain,2021-11-11 06:05:52
23,Saldanha,ZA,-33.0117,17.9442,17.64,83,97,5.63,Overcast Clouds,2021-11-11 06:05:53
24,Albany,US,42.6001,-73.9662,5.23,74,99,1.25,Overcast Clouds,2021-11-11 06:05:53
25,Turukhansk,RU,65.8167,87.9833,-17.51,90,42,3.65,Scattered Clouds,2021-11-11 06:05:54
26,Oranjemund,NA,-28.55,16.4333,17.51,69,1,5.28,Clear Sky,2021-11-11 06:05:54
27,Bredasdorp,ZA,-34.5322,20.0403,19.6,69,75,2.47,Broken Clouds,2021-11-11 06:05:55
28,Belgrade,RS,44.804,20.4651,4.19,84,0,0.45,Clear Sky,2021-11-11 06:01:20
29,Mahebourg,MU,-20.4081,57.7,27.36,66,6,4.21,Clear Sky,2021-11-11 06:01:53
30,Tateyama,JP,34.9833,139.8667,21.68,54,0,12.65,Clear Sky,2021-11-11 06:05:56
31,Georgetown,MY,5.4112,100.3354,30.96,76,20,0.45,Light Rain,2021-11-11 06:01:47
32,Tshikapa,CD,-6.4167,20.8,22.73,87,100,0.15,Overcast Clouds,2021-11-11 06:05:57
33,Brae,GB,60.3964,-1.353,7.95,66,57,12.22,Broken Clouds,2021-11-11 06:05:58
34,Hermanus,ZA,-34.4187,19.2345,19.89,71,74,3.71,Broken Clouds,2021-11-11 06:05:58
35,Dikson,RU,73.5069,80.5464,-19.86,98,91,7.22,Overcast Clouds,2021-11-11 06:05:59
36,Bud,US,39.447,-86.1758,12.4,87,100,4.32,Overcast Clouds,2021-11-11 06:05:59
37,Jamestown,US,42.097,-79.2353,7.8,59,1,0.45,Clear Sky,2021-11-11 06:06:00
38,Shilong,CN,23.1123,113.8425,23.98,26,36,1.6,Scattered Clouds,2021-11-11 06:06:00
39,Cape Town,ZA,-33.9258,18.4232,20.61,68,68,1.79,Broken Clouds,2021-11-11 06:02:30
