City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Fare,PF,2021-11-08 20:21:05,-16.7,-151.0167,298.98,76,2,3.36
1,Butaritari,KI,2021-11-08 20:21:06,3.0707,172.7902,300.84,72,14,6.37
2,Puerto Carreno,CO,2021-11-08 20:20:06,6.189,-67.4859,299.71,77,100,1.12
3,Cherskiy,RU,2021-11-08 20:21:06,68.75,161.3,256.63,97,100,1.35
4,Punta Arenas,CL,2021-11-08 20:21:07,-53.15,-70.9167,286.21,44,40,7.72
5,Carnarvon,AU,2021-11-08 20:21:07,-24.8667,113.6333,292.19,68,40,8.23
6,Cabo San Lucas,MX,2021-11-08 20:16:19,22.8909,-109.9124,306.21,63,99,0.45
7,Bubaque,GW,2021-11-08 20:21:08,11.2833,-15.8333,301.77,74,73,5.52
8,Nome,US,2021-11-08 20:21:08,64.5011,-165.4064,257.68,85,1,0.0
9,Bambous Virieux,MU,2021-11-08 20:21:09,-20.3428,57.7575,298.29,83,40,3.6
10,Hamilton,US,2021-11-08 20:15:25,39.1834,-84.5333,294.81,38,1,0.89
11,Jamestown,US,2021-11-08 20:21:09,42.097,-79.2353,292.77,36,1,4.12
12,Vaini,TO,2021-11-08 20:21:10,-21.2,-175.2,299.24,94,40,5.66
13,Siparia,TT,2021-11-08 20:21:10,10.1333,-61.5,303.12,84,100,0.89
14,Nikolskoye,RU,2021-11-08 20:21:11,59.7035,30.7861,273.64,72,66,4.47
15,Mae Sai,TH,2021-11-08 20:21:11,20.4335,99.8762,296.77,99,37,0.51
16,Tasiilaq,GL,2021-11-08 20:21:12,65.6145,-37.6368,271.24,64,100,3.06
17,Sucua,EC,2021-11-08 20:21:12,-2.4667,-78.1667,301.56,61,40,3.09
18,New Norfolk,AU,2021-11-08 20:21:12,-42.7826,147.0587,284.22,72,95,0.66
19,Rikitea,PF,2021-11-08 20:21:13,-23.1203,-134.9692,297.41,77,100,7.43
20,Barrow,US,2021-11-08 20:21:13,71.2906,-156.7887,269.16,74,90,4.63
21,Hobart,AU,2021-11-08 20:21:14,-42.8794,147.3294,284.41,84,75,2.57
22,Dikson,RU,2021-11-08 20:21:14,73.5069,80.5464,257.66,96,100,2.84
23,Georgetown,MY,2021-11-08 20:12:43,5.4112,100.3354,299.11,91,20,2.06
24,Arraial Do Cabo,BR,2021-11-08 20:21:15,-22.9661,-42.0278,297.13,73,75,3.09
25,Batagay-Alyta,RU,2021-11-08 20:21:15,67.8006,130.4114,254.6,95,97,0.88
26,Menomonie,US,2021-11-08 20:17:18,44.8755,-91.9193,289.55,23,100,7.2
27,Trairi,BR,2021-11-08 20:20:49,-3.2778,-39.2689,300.86,68,9,4.84
28,Griffith,US,2021-11-08 20:19:10,41.5284,-87.4237,292.74,54,1,0.89
29,Akyab,MM,2021-11-08 20:21:17,20.15,92.9,298.25,84,14,1.86
30,Luganville,VU,2021-11-08 20:21:18,-15.5333,167.1667,300.33,81,47,2.49
31,Saint George,US,2021-11-08 20:19:47,37.1041,-113.5841,298.41,28,1,1.34
32,Norman Wells,CA,2021-11-08 20:21:19,65.282,-126.8329,262.17,92,75,1.54
33,Tsiroanomandidy,MG,2021-11-08 20:21:19,-18.7667,46.0333,298.84,59,99,0.99
34,Leningradskiy,RU,2021-11-08 20:21:20,69.3833,178.4167,258.87,86,90,1.83
35,Bethel,US,2021-11-08 20:21:20,41.3712,-73.414,291.71,52,0,0.45
36,Owando,CG,2021-11-08 20:21:21,-0.4819,15.8999,297.94,85,96,1.12
37,Alyangula,AU,2021-11-08 20:21:21,-13.8483,136.4192,301.0,79,9,3.49
38,Busselton,AU,2021-11-08 20:21:22,-33.65,115.3333,285.42,68,90,7.15
39,Bluff,NZ,2021-11-08 20:21:22,-46.6,168.3333,291.37,74,62,1.82
40,Ribeira Grande,PT,2021-11-08 20:21:23,38.5167,-28.7,291.37,88,75,3.09
41,Port Lincoln,AU,2021-11-08 20:21:23,-34.7333,135.8667,285.61,75,100,2.29
42,Souillac,MU,2021-11-08 20:21:24,-20.5167,57.5167,298.36,83,40,3.6
43,Batagay,RU,2021-11-08 20:21:24,67.6333,134.6333,252.23,96,91,2.86
44,Hermanus,ZA,2021-11-08 20:21:25,-34.4187,19.2345,288.65,70,3,1.98
45,Mahebourg,MU,2021-11-08 20:21:25,-20.4081,57.7,298.31,83,40,3.6
46,Qaanaaq,GL,2021-11-08 20:22:26,77.484,-69.3632,256.85,57,0,3.76
47,Ketchikan,US,2021-11-08 20:22:26,55.3422,-131.6461,279.41,61,1,2.57
48,Kutum,SD,2021-11-08 20:22:27,14.2,24.6667,297.1,21,51,4.18
49,Port Blair,IN,2021-11-08 20:22:27,11.6667,92.75,300.98,83,73,4.52
50,Geraldton,AU,2021-11-08 20:22:28,-28.7667,114.6,292.38,82,90,3.6
51,Longyearbyen,SJ,2021-11-08 20:22:28,78.2186,15.6401,264.06,67,75,2.06
52,Pozo Colorado,PY,2021-11-08 20:22:28,-23.4923,-58.7972,304.5,42,96,2.99
53,Albany,US,2021-11-08 20:20:30,42.6001,-73.9662,290.17,61,0,1.64
54,Atambua,ID,2021-11-08 20:22:29,-9.1061,124.8925,297.72,85,95,1.14
55,Mataura,NZ,2021-11-08 20:22:29,-46.1927,168.8643,291.19,62,65,0.98
56,Vana-Vigala,EE,2021-11-08 20:22:30,58.7806,24.2522,273.62,87,9,2.37
57,Ushuaia,AR,2021-11-08 20:22:30,-54.8,-68.3,283.94,57,75,6.69
58,Tautira,PF,2021-11-08 20:22:31,-17.7333,-149.15,301.16,81,24,2.84
59,Matveyevka,RU,2021-11-08 20:22:31,52.15,56.1833,276.68,63,80,3.99
60,Isiro,CD,2021-11-08 20:22:31,2.7739,27.616,293.7,100,100,1.7
61,Victoria,HK,2021-11-08 20:22:32,22.2855,114.1577,291.62,58,99,0.45
62,Nanakuli,US,2021-11-08 20:22:32,21.3906,-158.1547,301.5,54,40,1.54
63,Caravelas,BR,2021-11-08 20:22:33,-17.7125,-39.2481,298.76,75,77,3.58
64,Bayshore Gardens,US,2021-11-08 20:22:33,27.4253,-82.5904,297.59,45,1,4.12
65,Kuala Terengganu,MY,2021-11-08 20:22:34,5.3302,103.1408,298.12,100,40,1.54
66,Ponca City,US,2021-11-08 20:22:34,36.707,-97.0856,298.77,46,1,3.58
67,Cape Town,ZA,2021-11-08 20:19:16,-33.9258,18.4232,289.38,73,20,2.57
68,Nuuk,GL,2021-11-08 20:21:22,64.1835,-51.7216,268.49,74,40,2.57
69,Mwinilunga,ZM,2021-11-08 20:22:35,-11.7358,24.4293,293.62,51,36,1.64
70,Albanel,CA,2021-11-08 20:22:35,48.8832,-72.4487,283.23,76,100,5.14
71,Presidencia Roque Saenz Pena,AR,2021-11-08 20:22:36,-26.7852,-60.4388,300.47,53,97,1.69
72,Viking,CA,2021-11-08 20:22:36,53.1001,-111.7684,280.07,34,24,5.24
73,Beringovskiy,RU,2021-11-08 20:22:37,63.05,179.3167,265.57,95,100,1.45
74,Quatre Cocos,MU,2021-11-08 20:22:37,-20.2078,57.7625,298.21,83,49,4.78
75,Aswan,EG,2021-11-08 20:22:38,24.0934,32.907,299.61,17,0,5.08
76,Pangnirtung,CA,2021-11-08 20:22:38,66.1451,-65.7125,263.15,73,1,1.03
77,Castro,BR,2021-11-08 20:22:39,-24.7911,-50.0119,291.35,95,99,4.44
78,Alugan,PH,2021-11-08 20:22:39,12.2188,125.4808,300.31,85,99,5.53
79,Motygino,RU,2021-11-08 20:22:40,58.1831,94.7592,271.37,80,75,6.29
80,Epe,NG,2021-11-08 20:22:40,6.5841,3.9834,298.59,92,83,2.58
